user, technique, session, word, len, class, correct, tapping_durations, selection_durations, point_distance, gesture_length, word_length
gd, dwell, 4, the, 3, Click, Yes, 1.907, 0.83, 0.0934275680677, 5.19281860771, 5.44283058237
gd, dwell, 4, front, 5, Click, Yes, 3.631, 1.012, 0.193943216511, 11.2723283993, 11.7748882382
gd, dwell, 4, of, 2, Click, Yes, 1.045, 0.978, 0.254891389628, 4.59265057283, 4.60977222865
gd, dwell, 4, the, 3, Click, Yes, 1.923, 0.929, 0.171081819075, 5.74316014767, 5.44283058237
gd, dwell, 4, bus, 3, Click, Yes, 2.055, 0.0, 0.179977600217, 6.58163046943, 6.84584020615
gd, dwell, 4, do, 2, Click, Yes, 1.31, 0.962, 0.238831396446, 5.92806701118, 5.59016994375
gd, dwell, 4, not, 3, Click, Yes, 2.056, 1.012, 0.146305456832, 6.91175118457, 6.82842712475
gd, dwell, 4, drink, 5, Click, Yes, 3.682, 0.994, 0.152443540168, 9.27565088382, 9.15687760398
gd, dwell, 4, the, 3, Click, Yes, 1.891, 1.011, 0.0653758850381, 5.33803920038, 5.44283058237
gd, dwell, 4, water, 5, Click, Yes, 3.416, 0.0, 0.121671786579, 7.67874478292, 7.75808893339
gd, dwell, 4, the, 3, Click, Yes, 2.023, 0.995, 0.131563069026, 5.29011561667, 5.44283058237
gd, dwell, 4, library, 7, Click, Yes, 5.589, 1.111, 0.168379263753, 14.8541067154, 14.8447946944
gd, dwell, 4, is, 2, Click, Yes, 1.095, 0.912, 0.0660728235704, 5.65976509522, 5.59016994375
gd, dwell, 4, closed, 6, Click, Yes, 4.262, 1.128, 0.207399223512, 14.6137346114, 15.520745129
gd, dwell, 4, today, 5, Click, Yes, 3.748, 0.0, 0.151422181575, 16.0541389598, 16.1999421724
gd, dwell, 5, my, 2, Click, Yes, 0.779, 1.095, 0.115405690841, 2.60675634593, 2.82842712475
gd, dwell, 5, bike, 4, Click, Yes, 3.134, 0.912, 0.159463616191, 8.87169656589, 9.53663105725
gd, dwell, 5, has, 3, Click, Yes, 1.642, 0.962, 0.135917062693, 6.5872275102, 6.0
gd, dwell, 5, a, 1, Click, Yes, 1.094, 2.255, 0.157948445022, 0, 0
gd, dwell, 5, flat, 4, Click, Yes, 3.847, 0.948, 0.265218127205, 15.9232204963, 16.6400549446
gd, dwell, 5, tire, 4, Click, Yes, 2.737, 0.0, 0.150254467015, 8.08653364792, 8.0
gd, dwell, 5, my, 2, Click, Yes, 1.078, 0.961, 0.188807324803, 3.06549123098, 2.82842712475
gd, dwell, 5, watch, 5, Click, Yes, 3.632, 0.961, 0.225097292992, 10.630040099, 9.68673931446
gd, dwell, 5, fell, 4, Click, Yes, 2.653, 0.995, 0.143567243023, 8.4275069494, 8.37924885671
gd, dwell, 5, in, 2, Click, Yes, 0.928, 0.912, 0.21295369814, 1.87066674627, 2.2360679775
gd, dwell, 5, the, 3, Click, Yes, 1.99, 0.879, 0.132786381857, 5.03928594918, 5.44283058237
gd, dwell, 5, water, 5, Click, Yes, 3.415, 0.0, 0.190251291535, 7.65202685227, 7.75808893339
gd, dwell, 5, we, 2, Click, Yes, 0.812, 1.012, 0.316269840694, 0.754338023934, 1.0
gd, dwell, 5, missed, 6, Click, Yes, 4.543, 0.996, 0.200232268799, 9.49653390109, 9.82623792125
gd, dwell, 5, your, 4, Click, Yes, 3.581, 0.995, 0.190864441514, 7.70448796918, 8.0
gd, dwell, 5, birthday, 8, Click, No, 6.55, 0.0, 0.171377345465, 18.8603296691, 19.2409749911
gd, dwell, 5, my, 2, Click, Yes, 1.045, 1.261, 0.420250120743, 2.47358666083, 2.82842712475
gd, dwell, 5, favorite, 8, Click, No, 8.771, 1.708, 1.1763426783, 23.1071898793, 25.1121908996
gd, dwell, 5, subject, 7, Click, Yes, 10.28, 1.128, 0.214786686322, 17.6065507805, 17.7305240275
gd, dwell, 5, is, 2, Click, Yes, 1.061, 1.475, 0.319895392588, 5.29686444152, 5.59016994375
gd, dwell, 5, psychology, 10, Click, Yes, 9.451, 0.0, 0.274838313945, 25.1399668044, 26.4141767626
gd, dwell, 5, frequently, 10, Click, Yes, 9.982, 0.945, 0.203982543401, 31.2658999746, 29.6684242418
