technique, word, len, class, correct, tapping_durations, selection_durations, point_distance, gesture_length
baseline, most, 4, Select, Yes, 1.31, 0.746, 0.642042688853, 7.99022416028
baseline, judges, 6, Select, Yes, 2.901, 0.829, 0.50983139122, 8.41370780156
baseline, are, 3, Select, Yes, 0.745, 0.614, 0.467320433711, 2.37157799903
baseline, very, 4, Select, Yes, 1.144, 0.63, 0.430888408931, 4.41260206744
baseline, honest, 6, Select, Yes, 2.023, 0.961, 0.56188368257, 11.54632399
baseline, parking, 7, Select, Yes, 2.57, 0.762, 0.498178581447, 18.8913440894
baseline, tickets, 7, Select, Yes, 2.868, 0.779, 0.552810721084, 16.8279111132
baseline, can, 3, Select, Yes, 7.344, 0.879, 0.375165547122, 7.70340397126
baseline, be, 2, Select, Yes, 0.613, 0.664, 0.421622007208, 3.89927887779
baseline, challenged, 10, Select, Yes, 4.675, 1.044, 0.621332658996, 26.4516377945
baseline, travel, 6, Select, Yes, 2.056, 0.812, 0.571315462425, 14.1838996041
baseline, at, 2, Select, Yes, 0.398, 0.829, 0.53010811716, 2.85896975307
baseline, the, 3, Select, Yes, 0.779, 0.564, 0.227758885516, 4.5241052987
baseline, speed, 5, Select, Yes, 1.724, 0.928, 0.573600178781, 12.8053197036
baseline, of, 2, Select, Yes, 0.497, 0.613, 0.504122619685, 4.8790756837
baseline, light, 5, Select, Yes, 1.558, 1.127, 0.462862406567, 5.86355320447
baseline, to, 2, Undo, No, 0.465, 1.791, 4.06714767787, 0
baseline, like, 4, Undo, No, 0, 1816.806, 0, 0
baseline, the, 3, Click, Yes, 2.3079, 1.1955, 0.141363272341, 5.53681663689
baseline, facts, 5, Click, Yes, 6.0107, 1.1289, 0.180599775772, 10.5934903205
baseline, get, 3, Click, Yes, 12.5178, 3.785, 0.144066866755, 4.60195896304
baseline, in, 2, Click, Yes, 1.4447, 2.125, 0.208173734393, 2.09946587778
baseline, the, 3, Click, Yes, 2.2744, 1.328, 0.146798170826, 4.91701289888
baseline, way, 3, Click, Yes, 3.1043, 0.0, 0.151021705176, 5.46361318557
baseline, employee, 8, Click, Yes, 10.539, 1.411, 0.244677577595, 15.5319934176
baseline, recruitment, 11, Click, Yes, 13.2285, 1.1948, 0.228086364158, 28.7002718614
baseline, takes, 5, Click, Yes, 4.6473, 0.8964, 0.204105933347, 16.3974012933
baseline, a, 1, Click, Yes, 0.0, 1.6931, 0.374153773355, 0
baseline, lot, 3, Click, Yes, 1.8595, 1.2613, 0.267643579785, 4.6748510131
baseline, of, 2, Click, Yes, 0.9296, 1.3608, 0.405367670987, 3.84834918893
baseline, effort, 6, Click, Yes, 4.7794, 0.0, 0.304258622746, 12.909102251
baseline, our, 3, Click, Yes, 1.9581, 0.9624, 0.172751409295, 5.21410506864
baseline, silver, 6, Click, Yes, 4.5799, 1.1615, 0.320890785289, 15.3385654147
baseline, anniversary, 11, Click, Yes, 8.6457, 1.5431, 0.192471804249, 22.6945801042
baseline, is, 2, Click, Yes, 1.1948, 1.261, 0.248236099398, 5.38970517263
baseline, coming, 6, Click, Yes, 5.0442, 0.0, 0.12305578779, 13.5895364072
baseline, a, 1, Click, Yes, 0.0, 0.9294, 0.417424360624, 0
baseline, dog, 3, Click, Yes, 2.2899, 0.8631, 0.278806183948, 8.36958683403
baseline, is, 2, Click, Yes, 0.9622, 0.8461, 0.314705433101, 5.97309152899
baseline, the, 3, Click, Yes, 1.4605, 1.3773, 0.140953305628, 5.45426285022
baseline, best, 4, Click, Yes, 5.2111, 1.2282, 0.250492432893, 7.08673174112
baseline, friend, 6, Click, Yes, 10.5053, 1.2447, 0.233586635795, 16.9276161474
baseline, of, 2, Click, Yes, 1.3109, 0.979, 0.343718468398, 3.98316053113
baseline, a, 1, Click, Yes, 0.0, 1.2609, 0.246844649172, 0
baseline, man, 3, Click, Yes, 3.0032, 0.0, 0.243216932015, 11.5900008877
baseline, a, 1, Click, Yes, 0.0, 1.0123, 0.287783303048, 0
baseline, fox, 3, Click, Yes, 2.3064, 0.6638, 0.152226058262, 10.8178009985
baseline, is, 2, Click, Yes, 1.1947, 1.1119, 0.338230748886, 5.02071328708
baseline, a, 1, Click, Yes, 0.0, 0.9625, 0.563468223857, 0
baseline, very, 4, Click, Yes, 2.539, 1.2778, 0.324830254797, 4.97227751722
baseline, smart, 5, Click, Yes, 5.3929, 1.0458, 0.303629598651, 15.7021504278
baseline, animal, 6, Click, Yes, 5.3768, 0.0, 0.23785704992, 22.8271561026
baseline, fish, 4, Click, Yes, 3.3023, 0.9461, 0.156052320609, 12.8522244461
baseline, are, 3, Click, Yes, 1.4604, 0.8795, 0.398265472954, 3.3082475489
baseline, jumping, 7, Click, Yes, 5.7086, 0.0, 0.249740913889, 11.9470283852
baseline, the, 3, Click, Yes, 1.7254, 0.9458, 0.242787851661, 5.43972473508
baseline, registration, 12, Click, Yes, 12.8098, 0.7963, 0.314379321538, 27.2473332199
baseline, period, 6, Click, Yes, 5.3599, 0.9127, 0.19948991505, 18.3178956417
baseline, is, 2, Click, Yes, 0.7632, 1.5766, 0.44392812925, 4.99995172833
baseline, over, 4, Click, Yes, 2.6219, 0.0, 0.337413420651, 7.23067620093
baseline, interactions, 12, Click, Yes, 10.4534, 1.128, 0.243874389532, 25.7604205341
baseline, between, 7, Click, Yes, 5.0938, 1.1115, 0.240468316371, 13.7686890189
baseline, men, 3, Click, Yes, 2.4724, 0.7965, 0.24261509902, 10.023544124
baseline, and, 3, Click, Yes, 4.6294, 1.2446, 0.266651614074, 9.06025749089
baseline, women, 5, Click, Yes, 4.6293, 0.0, 0.214633918481, 18.6776462655
baseline, take, 4, Click, Yes, 2.6213, 1.1119, 0.158395012138, 15.9227190704
baseline, a, 1, Click, Yes, 0.9624, 2.0076, 0.386242429438, 0
baseline, coffee, 6, Click, Yes, 5.4093, 1.0619, 0.141576952801, 11.811392626
baseline, break, 5, Click, Yes, 7.018, 0.0, 0.342948017728, 12.4790222972
baseline, elections, 9, Click, Yes, 7.7312, 1.2774, 0.243419704958, 27.4813839235
baseline, bring, 5, Click, Yes, 3.6828, 0.8959, 0.326699335526, 10.6199699433
baseline, out, 3, Click, Yes, 1.261, 1.1943, 0.376584982983, 3.53199092102
baseline, the, 3, Click, Yes, 1.5429, 1.0948, 0.267518387362, 5.63680724135
